,Date,return,Y2,predicted,binary,ticker
106,2024-07-15,0.007924189840134092,0.0,0.2633760694750936,0,AVGO
107,2024-07-16,-0.011971934468035423,0.0,0.2497476047617389,0,AVGO
108,2024-07-17,-0.08241697380974504,1.0,0.3744061114618398,0,AVGO
109,2024-07-18,0.02869080550382336,0.0,0.14307400445651,0,AVGO
110,2024-07-19,-0.01994590971525566,1.0,0.25363751766598774,0,AVGO
111,2024-07-22,0.023304288909196242,1.0,0.29183207687895185,0,AVGO
112,2024-07-23,0.01668607934091998,0.0,0.25724847069024326,0,AVGO
113,2024-07-24,-0.0789340934814732,0.0,0.16835093641750176,0,AVGO
114,2024-07-25,-0.013839222167893352,1.0,0.27375451160299186,0,AVGO
115,2024-07-26,0.01575366011441334,0.0,0.14202267801131566,0,AVGO
116,2024-07-29,-0.009342480631032383,0.0,0.10824427059973939,0,AVGO
