Date,return,Y1,predicted_Y1,binary,pTradeRate,tTradeBool,
26/07/2024,0.029424953,-0.018434539,0.032811691,0,-0.018434539,0,0.018434539
29/07/2024,-0.018434539,-0.011913773,-0.031421839,0,0,0,0
1/07/2024,-0.000641255,-0.012263816,-0.001325464,0,0,0,0
2/07/2024,-0.012263816,-0.002470836,-0.012337616,0,0,0,0
3/07/2024,-0.002470836,0.007006559,-0.002593499,0,0,0.007006559,0.007006559
5/07/2024,0.007006559,-0.002718964,0.006096404,0,-0.002718964,0,0.002718964
8/07/2024,-0.002718964,-0.005981801,-0.003145711,0,0,0,0
9/07/2024,-0.005981801,0.013988077,-0.005554095,0,0,0.013988077,0.013988077
10/07/2024,0.013988077,0.00244078,0.014753805,0,0.00244078,0.00244078,0
11/07/2024,0.00244078,0.016541864,0.001937585,0,0.016541864,0.016541864,0
12/07/2024,0.016541864,-0.014235054,0.015047728,0,-0.014235054,0,0.014235054
15/07/2024,-0.014235054,0.005998277,-0.011961732,0,0,0.005998277,0.005998277
16/07/2024,0.005998277,0.014777734,0.004889864,0,0.014777734,0.014777734,0
17/07/2024,0.014777734,-0.021544422,0.015047728,0,-0.021544422,0,0.021544422
18/07/2024,-0.021544422,0.00829247,-0.011961732,0,0,0.00829247,0.00829247
19/07/2024,0.00829247,0.005700966,0.011989179,0,0.005700966,0.005700966,0
22/07/2024,0.005700966,0.000126249,0.005183788,0,0.000126249,0.000126249,0
23/07/2024,0.000126249,0.006797621,-6.90E-05,0,0,0.006797621,0.006797621
24/07/2024,0.006797621,-0.01504171,0.006034358,0,-0.01504171,0,0.01504171
25/07/2024,-0.01504171,-0.004979256,-0.011979414,0,0,0,0
26/07/2024,-0.004979256,0.00293953,-0.006531816,0,0,0.00293953,0.00293953
29/07/2024,0.00293953,-0.005887628,0.003600071,0,-0.005887628,0,0.005887628
1/07/2024,0.007715495,0.0223569,0.007897429,0,0.0223569,0.0223569,0
2/07/2024,0.0223569,-0.000109751,0.026238657,0,-0.000109751,0,0.000109751
3/07/2024,-0.000109751,0.027384214,-0.000768515,0,0,0.027384214,0.027384214
5/07/2024,0.027384214,-0.029911225,0.024589183,0,-0.029911225,0,0.029911225
8/07/2024,-0.029911225,-0.021236038,-0.038303852,0,0,0,0
9/07/2024,-0.021236038,-0.02003301,-0.032822275,0,0,0,0
10/07/2024,-0.02003301,0.018064613,-0.030186992,0,0,0.018064613,0.018064613
11/07/2024,0.018064613,0.021277354,0.02440222,0,0.021277354,0.021277354,0
12/07/2024,0.021277354,-0.008301099,0.025727463,0,-0.008301099,0,0.008301099
15/07/2024,-0.008301099,0.017735656,-0.007328524,0,0,0.017735656,0.017735656
16/07/2024,0.017735656,-0.023475905,0.02622428,0,-0.023475905,0,0.023475905
17/07/2024,-0.023475905,-0.015886718,-0.038303852,0,0,0,0
18/07/2024,-0.015886718,0.002268826,-0.020128638,0,0,0.002268826,0.002268826
19/07/2024,0.002268826,-0.005396956,0.004532434,0,-0.005396956,0,0.005396956
22/07/2024,-0.005396956,-0.002452495,-0.003798881,0,0,0,0
23/07/2024,-0.002452495,-0.043891201,-0.000480391,0,0,0,0
24/07/2024,-0.043891201,0.061438525,-0.037392682,0,0,0.061438525,0.061438525
25/07/2024,0.061438525,-0.005062698,0.025302883,0,-0.005062698,0,0.005062698
26/07/2024,-0.005062698,0.004613703,-0.004691397,0,0,0.004613703,0.004613703
29/07/2024,0.004613703,-0.021332901,0.007033819,0,-0.021332901,0,0.021332901
1/07/2024,-0.006568281,0.008223826,-0.009318474,0,0,0.008223826,0.008223826
2/07/2024,0.008223826,-0.006313756,0.007414666,0,-0.006313756,0,0.006313756
3/07/2024,-0.006313756,0.006354078,-0.008974246,0,0,0.006354078,0.006354078
5/07/2024,0.006354078,0.000363074,0.00527859,0,0.000363074,0.000363074,0
8/07/2024,0.000363074,-0.016263165,-0.000267718,0,0,0,0
9/07/2024,-0.016263165,0.012586453,-0.027580698,0,0,0.012586453,0.012586453
10/07/2024,0.012586453,0.006938034,0.0180998,0,0.006938034,0.006938034,0
11/07/2024,0.006938034,0.018637761,0.007401801,0,0.018637761,0.018637761,0
12/07/2024,0.018637761,-0.00110536,0.018557996,0,-0.00110536,0,0.00110536
15/07/2024,-0.00110536,0.002564191,-0.00069429,0,0,0.002564191,0.002564191
16/07/2024,0.002564191,-0.014444754,0.003056093,0,-0.014444754,0,0.014444754
17/07/2024,-0.014444754,-0.029901395,-0.025160584,0,0,0,0
18/07/2024,-0.029901395,-0.001483743,-0.025934047,0,0,0,0
19/07/2024,-0.001483743,0.011523359,-0.002930967,0,0,0.011523359,0.011523359
22/07/2024,0.011523359,0.003947191,0.015004133,0,0.003947191,0.003947191,0
23/07/2024,0.003947191,-0.027921427,0.002846348,0,-0.027921427,0,0.027921427
24/07/2024,-0.027921427,0.011543056,-0.025985543,0,0,0.011543056,0.011543056
25/07/2024,0.011543056,-0.005671816,0.01461319,0,-0.005671816,0,0.005671816
