,Date,return,Y1,predicted,binary,ticker,top,strat
138,18/07/2024,0.003905903,-0.036137037,0.025934018,0,TSM,1,0
139,19/07/2024,-0.036137037,0.021366304,-0.020722068,0,TSM,0,-0.036137037
140,22/07/2024,0.021366304,0.00277148,0.055714147,0,TSM,1,0
141,23/07/2024,0.00277148,-0.060816043,0.05691856,0,TSM,1,0.00277148
142,24/07/2024,-0.060816043,0.002999226,-0.035178636,0,TSM,0,-0.060816043
143,25/07/2024,0.002999226,0.010303633,0.034877545,0,TSM,1,0
144,26/07/2024,0.010303633,-0.011989632,0.03605978,0,TSM,1,0.010303633
145,29/07/2024,-0.011989632,-0.03478336,-0.010331358,0,TSM,0,-0.011989632
146,30/07/2024,-0.03478336,0.070329342,-0.032390063,0,TSM,0,0
148,2/07/2024,-0.00841261,-0.009541294,0.000145954,0,LLY,0,0
149,3/07/2024,-0.009541294,0.018172624,-0.016743862,0,LLY,0,0
150,5/07/2024,0.018172624,0.003743373,0.015813138,0,LLY,0,0
151,8/07/2024,0.003743373,0.015671761,0.003613893,0,LLY,0,0
152,9/07/2024,0.015671761,0.007776685,0.010195527,0,LLY,1,0
153,10/07/2024,0.007776685,-0.006019501,0.003704356,0,LLY,0,0.007776685
154,11/07/2024,-0.006019501,0.015150044,-0.012713496,0,LLY,0,0
155,12/07/2024,0.015150044,0.002169721,0.000374013,0,LLY,1,0
156,15/07/2024,0.002169721,-0.009365571,-0.017622315,0,LLY,0,0.002169721
157,16/07/2024,-0.009365571,-0.038993835,-0.033559568,0,LLY,0,0
158,17/07/2024,-0.038993835,-0.064645272,-0.039167733,0,LLY,0,0
159,18/07/2024,-0.064645272,0.010044736,-0.060292794,0,LLY,0,0
160,19/07/2024,0.010044736,0.009864073,-0.014662347,0,LLY,0,0
161,22/07/2024,0.009864073,0.014126578,0.005511355,0,LLY,0,0
162,23/07/2024,0.014126578,-0.02118396,0.009094472,0,LLY,0,0
163,24/07/2024,-0.02118396,-0.04603834,-0.032683003,0,LLY,0,0
164,25/07/2024,-0.04603834,-0.020384401,-0.052744632,0,LLY,0,0
165,26/07/2024,-0.020384401,0.003931986,-0.03054523,0,LLY,0,0
166,29/07/2024,0.003931986,-0.022003336,-0.008815506,0,LLY,0,0
167,30/07/2024,-0.022003336,0.017636297,-0.036726464,0,LLY,0,0
169,2/07/2024,0.09710195,0.063373049,0.087697942,0,TSLA,1,0.09710195
170,3/07/2024,0.063373049,0.020606882,0.0249171,0,TSLA,1,0.063373049
171,5/07/2024,0.020606882,0.00562979,-0.090821403,0,TSLA,0,0.020606882
172,8/07/2024,0.00562979,0.036450886,-0.140856883,0,TSLA,0,0
173,9/07/2024,0.036450886,0.003538972,-0.0876386,0,TSLA,0,0
174,10/07/2024,0.003538972,-0.088220772,-0.163419379,0,TSLA,0,0
175,11/07/2024,-0.088220772,0.029434317,-0.344865246,0,TSLA,0,0
176,12/07/2024,0.029434317,0.01760983,-0.16761622,0,TSLA,0,0
177,15/07/2024,0.01760983,0.015396998,-0.151767467,0,TSLA,0,0
178,16/07/2024,0.015396998,-0.0319197,-0.169967614,0,TSLA,0,0
179,17/07/2024,-0.0319197,0.002933302,-0.220438626,0,TSLA,0,0
180,18/07/2024,0.002933302,-0.041076138,-0.179126687,0,TSLA,0,0
181,19/07/2024,-0.041076138,0.050182719,-0.251613481,0,TSLA,0,0
182,22/07/2024,0.050182719,-0.020607649,-0.112402839,0,TSLA,0,0
183,23/07/2024,-0.020607649,-0.131642944,-0.198843372,0,TSLA,0,0
184,24/07/2024,-0.131642944,0.019531129,-0.332061588,0,TSLA,0,0
185,25/07/2024,0.019531129,-0.002045209,-0.134785638,0,TSLA,0,0
186,26/07/2024,-0.002045209,0.054450284,-0.146648731,0,TSLA,0,0
187,29/07/2024,0.054450284,-0.041702079,-0.074711179,0,TSLA,0,0
188,30/07/2024,-0.041702079,0.041572822,-0.19077956,0,TSLA,0,0
190,2/07/2024,0.010114444,0.04237204,0.03255018,0,AVGO,1,0.010114444
191,3/07/2024,0.04237204,-0.015097043,0.054239537,0,AVGO,1,0.04237204
192,5/07/2024,-0.015097043,0.024673883,-0.020397082,0,AVGO,0,-0.015097043
193,8/07/2024,0.024673883,-0.007214424,0.035714205,0,AVGO,1,0
194,9/07/2024,-0.007214424,0.006544017,0.019567866,0,AVGO,1,-0.007214424
195,10/07/2024,0.006544017,-0.022454708,0.022233185,0,AVGO,1,0.006544017
196,11/07/2024,-0.022454708,-0.003099849,-0.013197672,0,AVGO,0,-0.022454708
197,12/07/2024,-0.003099849,0.00792419,0.004495289,0,AVGO,1,0
198,15/07/2024,0.00792419,-0.011971934,0.040618868,0,AVGO,1,0.00792419
199,16/07/2024,-0.011971934,-0.082416974,0.002638277,0,AVGO,1,-0.011971934
200,17/07/2024,-0.082416974,0.028690806,-0.113385379,0,AVGO,0,-0.082416974
201,18/07/2024,0.028690806,-0.01994591,0.033452471,0,AVGO,1,0
202,19/07/2024,-0.01994591,0.023304289,-0.014488263,0,AVGO,0,-0.01994591
203,22/07/2024,0.023304289,0.016686079,0.038876604,0,AVGO,0,0
204,23/07/2024,0.016686079,-0.078934093,0.037885109,0,AVGO,1,0
205,24/07/2024,-0.078934093,-0.013839222,-0.091351105,0,AVGO,0,-0.078934093
206,25/07/2024,-0.013839222,0.01575366,-0.052375988,0,AVGO,0,0
207,26/07/2024,0.01575366,-0.009342481,-0.028472954,0,AVGO,0,0
208,29/07/2024,-0.009342481,-0.045626466,-0.085852981,0,AVGO,0,0
209,30/07/2024,-0.045626466,0.112940336,-0.16093895,0,AVGO,0,0
