,Date,return,Y1,predicted,binary,ticker,pTradeRate,tTradeBool,top,strat
57,2024-07-23,-0.0077195734444502,-0.0704563944597653,-0.0076480819248618,0,NVDA,0.0,0.0,0,-0.0077195734444502
58,2024-07-24,-0.0704563944597653,-0.0173932891525875,-0.0300533496817244,0,NVDA,0.0,0.0,0,-0.0
59,2024-07-25,-0.0173932891525875,0.0069228890315189,-0.0272530118883869,0,NVDA,0.0,0.0069228890315189,0,-0.0
60,2024-07-26,0.0069228890315189,-0.0130872222731768,0.006138515482937,0,NVDA,-0.0130872222731768,0.0,1,0.0
61,2024-07-29,-0.0130872222731768,-0.0730400055741074,-0.0138396968925513,0,NVDA,0.0,0.0,0,-0.0130872222731768
62,2024-07-30,-0.0730400055741074,0.1205534298672921,-0.0300974548578084,0,NVDA,0.0,0.1205534298672921,0,-0.0
64,2024-07-02,0.0114255895715793,0.0041711225143414,0.0192677719031809,0,GOOG,0.0041711225143414,0.0041711225143414,1,0.0
65,2024-07-03,0.0041711225143414,0.0240950486349336,0.0098543781016937,0,GOOG,0.0240950486349336,0.0240950486349336,1,0.0041711225143414
66,2024-07-05,0.0240950486349336,-0.0077398722167533,0.0218624081086747,0,GOOG,-0.0077398722167533,0.0,1,0.0240950486349336
67,2024-07-08,-0.0077398722167533,-0.0002099826024991,-0.0053626117447048,0,GOOG,0.0,0.0,0,-0.0077398722167533
68,2024-07-09,-0.0002099826024991,0.0115897991914865,0.005552633879453,0,GOOG,0.0115897991914865,0.0115897991914865,1,-0.0
69,2024-07-10,0.0115897991914865,-0.028215370594159,0.0192055572069764,0,GOOG,-0.028215370594159,0.0,1,0.0115897991914865
70,2024-07-11,-0.028215370594159,-0.0027801785974052,-0.0166941118691317,0,GOOG,0.0,0.0,0,-0.028215370594159
71,2024-07-12,-0.0027801785974052,0.0075206566037951,-0.0056940615347658,0,GOOG,0.0,0.0075206566037951,0,-0.0
72,2024-07-15,0.0075206566037951,-0.014397221702364,0.0037135527827029,0,GOOG,-0.014397221702364,0.0,1,0.0
73,2024-07-16,-0.014397221702364,-0.0156474175968522,-0.0203146705850761,0,GOOG,0.0,0.0,0,-0.014397221702364
74,2024-07-17,-0.0156474175968522,-0.0187933561833649,-0.0179307628696822,0,GOOG,0.0,0.0,0,-0.0
75,2024-07-18,-0.0187933561833649,0.0009480950413543,-0.0202101433993715,0,GOOG,0.0,0.0009480950413543,0,-0.0
76,2024-07-19,0.0009480950413543,0.0218347244975844,0.0007418701536154,0,GOOG,0.0218347244975844,0.0218347244975844,1,0.0
